Date,N,D,S,I,R
17-05-2020,1382345085,3025,1382249387,55878,39820
18-05-2020,1382345085,3156,1382244757,57939,42389
19-05-2020,1382345085,3302,1382238610,60864,45611
20-05-2020,1382345085,3434,1382233057,63172,48856
21-05-2020,1382345085,3584,1382226859,66089,52137
22-05-2020,1382345085,3726,1382220291,69244,55550
23-05-2020,1382345085,3868,1382213662,73170,58253
24-05-2020,1382345085,4024,1382206549,76820,61716
25-05-2020,1382345085,4172,1382200135,80072,64878
26-05-2020,1382345085,4344,1382194292,82172,68621
27-05-2020,1382345085,4534,1382186999,85803,72283
28-05-2020,1382345085,4711,1382179699,89755,75631
29-05-2020,1382345085,4980,1382171594,85884,87607
30-05-2020,1382345085,5185,1382163258,89706,92121
31-05-2020,1382345085,5408,1382154476,93349,97260
01-06-2020,1382345085,5608,1382146715,97008,101362
02-06-2020,1382345085,5829,1382137894,101077,106114
03-06-2020,1382345085,6088,1382128261,106665,110159
04-06-2020,1382345085,6363,1382118372,111900,114813
05-06-2020,1382345085,6649,1382108901,116302,119882
06-06-2020,1382345085,6946,1382098463,120981,125641
07-06-2020,1382345085,7207,1382087599,126431,131055
08-06-2020,1382345085,7473,1382079157,129360,136568
09-06-2020,1382345085,7750,1382068939,133726,142420
10-06-2020,1382345085,8102,1382058480,143297,143308
11-06-2020,1382345085,8498,1382047550,141842,155693
12-06-2020,1382345085,8884,1382036092,145779,163214
13-06-2020,1382345085,9195,1382024163,149348,171574
14-06-2020,1382345085,9520,1382012661,153106,179318
15-06-2020,1382345085,9900,1382001994,153178,189913
16-06-2020,1382345085,11903,1381991020,155227,198838
17-06-2020,1382345085,12237,1381978139,160384,206562
18-06-2020,1382345085,12573,1381964553,163248,217284
19-06-2020,1382345085,12948,1381950037,168269,226779
20-06-2020,1382345085,13254,1381934634,169469,240982
21-06-2020,1382345085,13699,1381919803,174387,250895
22-06-2020,1382345085,14011,1381904870,178014,262201
23-06-2020,1382345085,14476,1381888902,183022,273161
24-06-2020,1382345085,14894,1381871980,186514,286591
25-06-2020,1382345085,15301,1381854684,189463,300938
26-06-2020,1382345085,15685,1381836132,197387,311566
27-06-2020,1382345085,16095,1381816226,203051,325808
28-06-2020,1382345085,16475,1381796767,210120,338198
29-06-2020,1382345085,16893,1381778245,215125,351715
30-06-2020,1382345085,17400,1381759604,220169,365312
01-07-2020,1382345085,17834,1381740444,226947,377694
02-07-2020,1382345085,18213,1381719541,227439,398105
03-07-2020,1382345085,18655,1381696770,235433,412882
04-07-2020,1382345085,19268,1381671920,244814,428351
05-07-2020,1382345085,19693,1381647672,253287,444126
06-07-2020,1382345085,20159,1381625421,259571,460093
07-07-2020,1382345085,20642,1381602668,264944,477473
08-07-2020,1382345085,21129,1381577789,269789,497507
09-07-2020,1382345085,21604,1381551283,276685,517117
10-07-2020,1382345085,22123,1381524169,283407,537509
11-07-2020,1382345085,22673,1381495563,292231,557291
12-07-2020,1382345085,23174,1381466831,301609,576645
