Date,N,D,S,I,R
25-05-2020,11598451,9312,11541109,32733,24609
26-05-2020,11598451,9334,11540996,32801,24654
27-05-2020,11598451,9364,11540859,32763,24829
28-05-2020,11598451,9388,11540602,32889,24960
29-05-2020,11598451,9430,11540390,32949,25112
30-05-2020,11598451,9453,11540265,32964,25222
31-05-2020,11598451,9467,11540070,33027,25354
01-06-2020,11598451,9486,11539934,33112,25405
02-06-2020,11598451,9505,11539836,33176,25439
03-06-2020,11598451,9522,11539766,33204,25481
04-06-2020,11598451,9548,11539684,33171,25596
05-06-2020,11598451,9566,11539544,33229,25678
06-06-2020,11598451,9580,11539379,33302,25770
07-06-2020,11598451,9595,11539225,33340,25886
08-06-2020,11598451,9606,11539103,33427,25921
09-06-2020,11598451,9619,11539014,33494,25943
10-06-2020,11598451,9629,11538882,33548,26021
11-06-2020,11598451,9636,11538740,33622,26089
12-06-2020,11598451,9646,11538632,33675,26144
13-06-2020,11598451,9650,11538533,33721,26197
14-06-2020,11598451,9655,11538422,33785,26244
15-06-2020,11598451,9661,11538351,33829,26271
16-06-2020,11598451,9663,11538296,33867,26288
17-06-2020,11598451,9675,11538207,33885,26359
18-06-2020,11598451,9683,11538103,33941,26407
19-06-2020,11598451,9695,11537975,34030,26446
20-06-2020,11598451,9696,11537901,34083,26467
21-06-2020,11598451,9696,11537901,34083,26467
22-06-2020,11598451,9696,11537901,34083,26467
23-06-2020,11598451,9713,11537641,34326,26484
24-06-2020,11598451,9722,11537553,34405,26493
25-06-2020,11598451,9726,11537444,34391,26616
26-06-2020,11598451,9731,11537345,34457,26649
27-06-2020,11598451,9732,11537242,34536,26673
28-06-2020,11598451,9732,11537156,34622,26673
29-06-2020,11598451,9732,11537090,34688,26673
30-06-2020,11598451,9747,11537024,34696,26731
01-07-2020,11598451,9754,11536942,34734,26775
02-07-2020,11598451,9761,11536853,34793,26805
03-07-2020,11598451,9765,11536724,34889,26838
04-07-2020,11598451,9771,11536613,34976,26862
05-07-2020,11598451,9771,11536435,35154,26862
06-07-2020,11598451,9774,11536393,35193,26865
07-07-2020,11598451,9774,11536393,35162,26896
08-07-2020,11598451,9776,11536328,35209,26914
09-07-2020,11598451,9778,11536241,35273,26937
10-07-2020,11598451,9781,11536094,35397,26960
11-07-2020,11598451,9782,11535982,35491,26978
12-07-2020,11598451,9782,11535744,35729,26978
13-07-2020,11598451,9782,11535744,35729,26978
14-07-2020,11598451,9787,11535670,35771,27010
15-07-2020,11598451,9788,11535579,35842,27030
16-07-2020,11598451,9795,11535213,36190,27048
17-07-2020,11598451,9800,11534952,36410,27089
18-07-2020,11598451,9800,11534745,36617,27089
19-07-2020,11598451,9800,11534745,36617,27089
20-07-2020,11598451,9805,11534357,36968,27126
21-07-2020,11598451,9805,11534193,37123,27135
22-07-2020,11598451,9808,11533824,37472,27155
23-07-2020,11598451,9812,11533604,37666,27181
24-07-2020,11598451,9817,11533252,37988,27211
25-07-2020,11598451,9821,11532724,38481,27246
26-07-2020,11598451,9821,11532425,38767,27259
27-07-2020,11598451,9822,11532023,39154,27274
